Num_Ans_Rep,Tot_Ans,Num_User_Rep,Tot_User,Frac_Ans,Frac_User,Rep_Cap
165053,33098233,4,17053422,0.4986761679996633,0.00002345570290819051,1000000
3584549,33098233,1092,17053422,10.830031319194592,0.006403406893936008,100000
2257130,33098233,24894,17053422,37.03258116528456,0.14597656704912362,10000
21359160,33098233,171987,17053422,64.53262927963557,1.0085189940177401,1500
23106201,33098233,242731,17053422,69.81098054388583,1.4233565556519976,1000
25115466,33098233,366102,17053422,75.88159162454382,2.1467949365235905,600
29426492,33098233,1142827,17053422,88.90653467815034,6.7014526468646585,100
30510373,33098233,1675909,17053422,92.1812744505122,9.827405901290662,50
30782922,33098233,1896090,17053422,93.00472928569933,11.118530931797736,40
30897775,33098233,1968712,17053422,93.35173572558995,11.544380945947388,35
31105493,33098233,2228037,17053422,93.97931605593568,13.065043485114014,30
31225314,33098233,2321308,17053422,94.3413323605523,13.611977701601475,25
31501167,33098233,2779255,17053422,95.17476960174884,16.297344896525754,20
31592509,33098233,2877101,17053422,95.45074203810215,16.871106573214455,15
31998417,33098233,3802533,17053422,96.67711566354615,22.297771086647593,10
31998772,33098233,3802639,17053422,96.67818822835648,22.298392662774663,9
32036367,33098233,3875950,17053422,96.79177435242539,22.72828292175025,8
32036540,33098233,3876014,17053422,96.7922970389386,22.728658212996784,7
32049235,33098233,3899363,17053422,96.83065256081798,22.865575014797617,6
32049282,33098233,3899383,17053422,96.83079456235625,22.865692293312158,5
32061125,33098233,3938406,17053422,96.8665759286908,23.09452026695874,4
32061201,33098233,3938429,17053422,96.86680554819951,23.09465513725046,3
32101413,33098233,4221995,17053422,96.98829843877164,24.757465099966446,2
32101441,33098233,4222004,17053422,96.98838303543273,24.757517875297992,1
32756847,33098233,17053422,17053422,98.96856729481601,100,0


